"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"True Vapor - Super Mint-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20280;"HANGSEN Sp.z o.o.";29-06-2021
"INSANO - Green 0 MG 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"True Vapor - Spearmint-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"Unik Glas Drip Tip - Nr. 2 Guld Skrå";Other;02828-19-70021;"Insano Aps";11-10-2019
"Fjör - Pod kit - Gold";Other;02828-20-50063;"Insano Aps";22-12-2020
"Holmegaard - Menthol 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"TRUE VAPOR - Classic blue 0 mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"INSANO - Menthol 0mg/ml";"Refill container/cartridge containing e-liquid.";00409-18-20260;"HANGSEN Sp.z o.o.";09-05-2022
"Holmegaard - Arctic 0mg 70PG/30VG";"Refill container/cartridge containing e-liquid.";00409-19-20290;"HANGSEN Sp.z o.o.";29-06-2021
"True Vapor - Royal-0mg/ml";"Refill container/cartridge containing e-liquid.";00409-19-20540;"HANGSEN Sp.z o.o.";29-06-2021
"510 King Wide Bore Drip Tip - (09) Bronze";Other;02828-19-70026;"Insano Aps";11-10-2019
"Innokin - Goz kit, 2ml - Black";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-21-80136;"Insano Aps";18-10-2021
"Innokin - Coolfire Z50 MOD - Pink";Other;02828-20-50060;"Insano Aps";10-06-2020
"Eleaf - Ello Duro 810 drip tip";Other;02828-21-70039;"Insano Aps";11-02-2021
"FJÖR - Puffbar Plus SWT Menthol 0 MG/ML";"Electronic cigarette – Disposable.";02828-23-90131;"Insano Aps";27-12-2023
"Chubby Gorilla - Drip tip";Other;02828-21-70041;"Insano Aps";11-02-2021
"Snake Head 510 Drip Tip";Other;02828-19-70013;"Insano Aps";14-10-2019
"OXVA Xlim Pods 0.8";"Electronic cigarette – Refillable, device only.";02828-25-30154;"Insano Aps";14-11-2025
"Smoktech - TFV4 Drip Tip";Other;02828-19-70005;"Insano Aps";14-10-2019
"Vandy Vape - Pulse BF Driptip";Other;02828-22-70045;"Insano Aps";14-07-2022
"Skull 510 Drip Tip";Other;02828-19-70014;"Insano Aps";14-10-2019
"Glas Drip Tip(Kort model) - Kobber";Other;02828-19-70019;"Insano Aps";14-10-2019
"Vozol Switch 600 batteri Sort";Other;02828-23-50079;"Insano Aps";17-11-2023
"510 Drip Tip Aluminium";Other;02828-19-70007;"Insano Aps";11-10-2019
"Enva Sol Forest Green";Other;02828-25-50083;"Insano Aps";05-01-2026
"SS Hat Carbon Fiber Drip Tip - (14) Bronze";Other;02828-19-70029;"Insano Aps";11-10-2019
"PS-4 Drip Tip - (03) Valnød";Other;02828-19-70033;"Insano Aps";11-10-2019
"510 Drip Tip Klar med bånd";Other;02828-19-70009;"Insano Aps";11-10-2019
"Vozol Vista plug batteri Clear";Other;02828-25-50080;"Insano Aps";19-12-2024
"Unik Glas Drip Tip - Nr. 1 Guld Flad";Other;02828-19-70020;"Insano Aps";11-10-2019
"Enva Sol";Other;02828-25-50083;"Insano Aps";05-01-2026
"PS-4 Drip Tip - (01) Eg";Other;02828-19-70031;"Insano Aps";11-10-2019
"510 Stingray Drip tip";Other;02828-19-70037;"Insano Aps";14-10-2019
"Alu+SS+Delrin Drip Tip - Sølv (06)";Other;02828-19-70036;"Insano Aps";14-10-2019
"Elego - Gummi Drip Tips";Other;02828-21-70040;"Insano Aps";11-02-2021
"Glas Drip Tip(Kort model) - Sølv";Other;02828-19-70017;"Insano Aps";14-10-2019
"Innokin - Zenith II RDL Driptip";Other;02828-22-70043;"Insano Aps";05-07-2022
"OXVA Xlim Pods";"Electronic cigarette – Refillable, device only.";02828-25-30153;"Insano Aps";14-11-2025
"Enva Sol Mist Blue";Other;02828-25-50083;"Insano Aps";05-01-2026
"Genie 510 Drip Tip";Other;02828-19-70016;"Insano Aps";14-10-2019
"Glas Drip Tip(Kort model) - Guld";Other;02828-19-70018;"Insano Aps";14-10-2019
"510 Drip Tip transparent";Other;02828-19-70008;"Insano Aps";11-10-2019
"PS-4 Drip Tip - (02) Redwood";Other;02828-19-70032;"Insano Aps";11-10-2019
"SS Hat Carbon Fiber Drip Tipt - (15) Sort";Other;02828-19-70030;"Insano Aps";11-10-2019
"Innokin - Goz kit, 2ml - Pink";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-21-80136;"Insano Aps";18-10-2021
"Alu+SS+Delrin Drip Tip - Grå (05)";Other;02828-19-70035;"Insano Aps";14-10-2019
"Core 510 Drip Tip";Other;02828-19-70010;"Insano Aps";14-10-2019
"Innokin - Goz kit, 2ml - Silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";02828-21-80136;"Insano Aps";18-10-2021
"Ming 510 Drip Tip";Other;02828-19-70011;"Insano Aps";14-10-2019
"OXVA Xlim Pods";"Electronic cigarette – Refillable, device only.";02828-25-30154;"Insano Aps";14-11-2025
"SS Hat Carbon Fiber Drip Tip - (12) Guld";Other;02828-19-70027;"Insano Aps";11-10-2019
"Unik Glas Drip Tip - Nr. 4 Sølv Skrå";Other;02828-19-70023;"Insano Aps";11-10-2019
"Enva Sol Cosmo Black";Other;02828-25-50083;"Insano Aps";05-01-2026
"OXVA Xlim Pods 0.6";"Electronic cigarette – Refillable, device only.";02828-25-30153;"Insano Aps";14-11-2025
"510 King Wide Bore Drip Tip - (08) Guld";Other;02828-19-70025;"Insano Aps";11-10-2019
"510 King Wide Bore Drip Tip - (07) Sølv";Other;02828-19-70024;"Insano Aps";11-10-2019
"Vase 510 Drip Tip";Other;02828-19-70015;"Insano Aps";14-10-2019
"Alu+SS+Delrin Drip Tip - Sort (04)";Other;02828-19-70034;"Insano Aps";14-10-2019
"Innokin - Zenith II MTL Driptip";Other;02828-22-70044;"Insano Aps";05-07-2022
"T-juice - Drip tip";Other;02828-21-70042;"Insano Aps";11-02-2021
